type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,132.0417,61.9682,23.44,0.0,43.2,0.29,5.51
Forest fire,3,132.6502,61.0398,22.66,0.0,39.09,0.33,5.51
Forest fire,3,132.6413,60.99,22.66,0.0,39.09,0.33,4.52
Natural fire,4,132.8277,59.9988,19.86,0.0,51.77,0.31,4.78
Natural fire,4,133.2313,59.8863,19.86,0.0,51.77,0.31,4.78
Natural fire,4,133.9149,59.6022,18.35,0.0,60.15,0.45,4.78
Natural fire,4,133.7427,59.5562,18.35,0.0,60.15,0.45,4.78
Natural fire,4,133.403,59.6113,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.1613,59.6999,18.86,0.0,58.74,0.39,4.78
Natural fire,4,132.0742,59.9684,20.15,0.0,46.69,0.22,4.78
Natural fire,4,132.3435,59.5218,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5751,59.4692,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5113,59.419,18.62,0.0,61.36,0.33,4.78
Natural fire,4,129.9721,60.9832,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.7369,60.928,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.5717,60.9851,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.516,60.9717,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.3518,60.8856,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.6529,60.8403,22.18,0.0,40.06,0.21,5.55
Forest fire,3,127.9961,61.2786,23.12,0.0,45.28,0.24,5.43
Forest fire,3,126.3931,61.5532,24.08,0.0,51.11,0.13,5.43
Forest fire,3,124.28,62.789,23.88,0.0,49.58,0.34,5.38
Forest fire,3,131.2588,63.1799,22.96,0.01,51.77,0.21,4.83
Forest fire,3,131.1562,63.1584,22.96,0.01,51.77,0.21,4.83
Forest fire,3,128.1991,63.3491,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.1624,63.2682,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.1108,63.2264,23.58,0.0,52.24,0.28,5.01
Forest fire,3,128.0415,63.3994,24.21,0.0,52.87,0.34,5.01
Forest fire,3,129.4437,62.2747,24.32,0.0,46.48,0.42,5.43
Forest fire,3,112.4838,62.9738,24.07,0.02,57.56,0.25,4.91
Forest fire,3,114.2191,62.0946,23.92,0.01,55.52,0.0,5.42
Forest fire,3,114.1389,62.0851,23.92,0.01,55.52,0.0,5.42
Forest fire,3,124.2018,62.7882,23.88,0.0,49.58,0.34,5.38
Forest fire,3,126.3809,61.5531,24.08,0.0,51.11,0.13,5.43
Forest fire,3,127.9864,61.2827,23.12,0.0,45.28,0.24,5.43
Natural fire,4,129.5462,60.9393,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.5163,60.9481,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.5357,60.9795,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.3624,60.9435,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.3531,60.8906,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.6335,60.8463,22.18,0.0,40.06,0.21,5.55
Natural fire,4,129.7518,60.9089,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.7027,60.9394,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.7992,60.9412,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.9599,60.934,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.9636,60.9739,22.24,0.0,38.77,0.23,5.55
Natural fire,4,129.953,61.0055,22.24,0.0,38.77,0.23,5.43
Forest fire,3,132.4627,61.0062,22.66,0.0,39.09,0.33,5.51
Forest fire,3,132.4982,60.989,22.66,0.0,39.09,0.33,4.52
Forest fire,3,132.5185,60.9682,22.66,0.0,39.09,0.33,4.52
Forest fire,3,132.6448,61.0204,22.66,0.0,39.09,0.33,5.51
Forest fire,3,132.4855,61.0554,22.66,0.0,39.09,0.33,5.51
Natural fire,4,133.8011,60.5271,19.77,0.0,51.79,0.37,4.52
Natural fire,4,133.2306,60.4263,20.61,0.0,44.39,0.3,4.52
Natural fire,4,133.2258,60.3958,20.61,0.0,44.39,0.3,4.52
Natural fire,4,133.0276,60.0166,19.86,0.0,51.77,0.31,4.52
Natural fire,4,132.8342,60.0,19.86,0.0,51.77,0.31,4.52
Natural fire,4,132.776,59.9836,20.23,0.0,47.63,0.22,4.78
Natural fire,4,132.6981,59.9917,20.23,0.0,47.63,0.22,4.78
Natural fire,4,131.9654,59.9587,20.15,0.0,46.69,0.22,5.14
Natural fire,4,132.1167,59.7405,18.56,0.0,60.68,0.32,4.78
Natural fire,4,132.0893,59.8155,20.15,0.0,46.69,0.22,4.78
Natural fire,4,132.4378,59.5853,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.4724,59.569,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.4993,59.5538,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5192,59.5342,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.5229,59.4285,18.62,0.0,61.36,0.33,4.78
Natural fire,4,132.9865,59.4514,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.0354,59.4295,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.0155,59.4736,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.0125,59.5157,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.0377,59.5581,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.1255,59.553,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.1882,59.6845,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.4175,59.6153,18.86,0.0,58.74,0.39,4.78
Natural fire,4,133.7259,59.5597,18.35,0.0,60.15,0.45,4.78
Natural fire,4,133.8136,59.5901,18.35,0.0,60.15,0.45,4.78
Natural fire,4,133.874,59.6048,18.35,0.0,60.15,0.45,4.78
Natural fire,4,133.8685,59.6554,18.35,0.0,60.15,0.45,4.78
Natural fire,4,134.2223,60.4221,19.37,0.0,57.74,0.44,4.82
Natural fire,4,133.2218,59.9124,19.86,0.0,51.77,0.31,4.78
Forest fire,3,132.0911,61.9724,23.44,0.0,43.2,0.29,5.51
Forest fire,3,132.0382,61.9739,23.44,0.0,43.2,0.29,5.51
Forest fire,3,132.3016,62.4023,22.06,0.0,49.13,0.23,5.3
Forest fire,3,132.3099,62.4719,22.06,0.0,49.13,0.23,5.3
Forest fire,3,132.516,62.7304,22.06,0.0,49.13,0.23,5.3
Forest fire,3,132.5463,62.799,22.02,0.0,53.31,0.11,5.3
Forest fire,3,132.8947,62.8027,22.07,0.01,54.26,0.17,5.3
Forest fire,3,131.2761,63.179,22.96,0.01,51.77,0.21,4.83
Forest fire,3,131.1385,63.1573,22.96,0.01,51.77,0.21,4.83
Forest fire,3,129.5751,62.5476,24.32,0.0,46.48,0.42,5.43
Forest fire,3,129.4443,62.2761,24.32,0.0,46.48,0.42,5.43
Forest fire,3,128.1506,63.2709,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.0669,63.2551,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.162,63.2981,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.1791,63.3504,24.21,0.0,52.87,0.34,5.01
Forest fire,3,128.0407,63.4004,24.21,0.0,52.87,0.34,5.01
